"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1396",0.54,"Ideal","F","VVS1",61.8,56,2882,5.23,5.26,3.24
"1397",0.99,"Fair","J","SI1",55,61,2812,6.72,6.67,3.68
"1398",0.72,"Premium","F","VVS2",61.1,58,3250,5.78,5.84,3.55
"1399",1.02,"Good","F","SI2",59.6,64,3633,6.58,6.55,3.91
"1400",0.31,"Premium","I","VS2",61.1,58,558,4.38,4.36,2.67
"1401",0.23,"Good","E","VS1",64.1,59,402,3.83,3.85,2.46
"1402",0.72,"Ideal","H","VS1",62.3,56,2819,5.73,5.77,3.58
"1403",0.9,"Very Good","J","SI2",63.3,59,2973,6.08,6.12,3.86
"1404",0.8,"Good","E","VS2",63.4,56,3273,5.88,5.92,3.74
"1405",0.78,"Premium","D","SI1",60.4,57,3019,6.02,5.97,3.62
"1406",0.8,"Ideal","I","VS2",62.1,54.4,2830,5.94,5.99,3.7
"1407",0.91,"Very Good","I","VS2",62.5,58,3579,6.13,6.19,3.85
"1408",0.92,"Premium","H","SI1",62.2,58,3675,6.19,6.23,3.86
"1409",0.83,"Ideal","F","SI1",62.8,56,3482,5.97,6.01,3.76
"1410",1,"Ideal","I","SI2",61.7,56,2873,6.45,6.41,3.97
"1411",0.73,"Ideal","G","VS1",60.2,56,3273,5.86,5.9,3.54
"1412",0.93,"Premium","H","SI1",60.9,61,3437,6.24,6.2,3.79
"1413",0.9,"Very Good","H","SI2",62.9,57,3160,6.09,6.16,3.85
"1414",0.25,"Good","F","VS1",63.6,57,558,4.04,4.01,2.56
"1415",0.61,"Ideal","E","VVS2",62.4,53.9,2907,5.42,5.43,3.38
"1416",0.74,"Ideal","F","VS2",60.5,59,2936,5.81,5.86,3.53
"1417",0.9,"Premium","G","SI1",62.2,60,3734,6.1,6.16,3.81
"1418",0.71,"Ideal","H","IF",62.2,57,3234,5.7,5.74,3.56
"1419",0.25,"Very Good","E","VVS1",61.5,56,560,4.06,4.08,2.5
"1420",0.65,"Ideal","G","IF",60.1,57,3536,5.61,5.65,3.38
"1421",0.96,"Premium","G","SI1",62,57,3355,6.34,6.31,3.92
"1422",0.9,"Very Good","F","SI1",63.8,54,3699,6.09,6.13,3.9
"1423",0.25,"Very Good","F","IF",61.5,56,560,4.04,4.06,2.48
"1424",0.74,"Ideal","H","VS1",61,55,3254,5.86,5.88,3.58
"1425",0.31,"Very Good","G","VS2",60.9,57,559,4.37,4.39,2.67
"1426",0.73,"Very Good","H","VS2",60.8,56,2779,5.82,5.84,3.55
"1427",0.77,"Ideal","G","VS2",61.7,55,3154,5.87,5.9,3.63
"1428",1.06,"Premium","J","SI2",62.9,59,3391,6.43,6.39,4.03
"1429",0.3,"Very Good","I","SI1",63,57,405,4.28,4.32,2.71
"1430",0.9,"Good","E","SI2",63,58,3736,6.08,6.11,3.84
"1431",0.7,"Ideal","D","VS2",60.3,60,2991,5.71,5.76,3.46
"1432",0.32,"Ideal","G","VS1",61.8,55,559,4.42,4.45,2.74
"1433",0.76,"Ideal","E","VS2",61.3,56,3079,5.79,5.83,3.56
"1434",0.71,"Ideal","E","VS1",62,57,3380,5.72,5.66,3.53
"1435",0.79,"Ideal","D","SI1",61.3,54,3270,6.01,5.96,3.67
"1436",1.06,"Ideal","F","SI2",62.7,56,3461,6.52,6.47,4.07
"1437",1.09,"Premium","G","SI2",61.3,60,3601,6.66,6.59,4.06
"1438",0.72,"Very Good","D","VS2",63.1,59,3139,5.67,5.7,3.59
"1439",0.72,"Ideal","E","VS1",62.6,55,3275,5.7,5.73,3.58
"1440",0.77,"Ideal","H","VS1",61.3,56,3468,5.91,5.97,3.64
"1441",0.72,"Very Good","D","VS2",62.6,59,3075,5.69,5.72,3.57
"1442",0.9,"Good","G","SI2",63.8,59,3246,6.05,6.02,3.85
"1443",1.01,"Ideal","G","SI2",61.5,57,3739,6.42,6.46,3.96
"1444",0.7,"Very Good","D","VS1",60.4,58,3008,5.71,5.78,3.47
"1445",0.73,"Ideal","G","VVS2",62.2,55,3127,5.77,5.74,3.58
"1446",0.72,"Premium","D","VS2",60.6,57,3205,5.82,5.79,3.52
"1447",0.7,"Ideal","G","VS1",61.5,56,3065,5.7,5.75,3.52
"1448",0.72,"Premium","D","VS1",62.7,58,2900,5.68,5.65,3.55
"1449",1.03,"Ideal","J","SI1",62.3,57,3738,6.48,6.43,4.02
"1450",0.24,"Ideal","G","VVS1",62.1,56,559,3.97,4,2.47
"1451",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"1452",1.08,"Premium","G","SI2",59.3,61,3701,6.66,6.61,3.94
"1453",0.71,"Premium","D","VS1",59.2,59,3718,5.9,5.85,3.48
"1454",0.79,"Very Good","F","SI1",58.5,61,3073,6.03,6.08,3.54
"1455",0.7,"Good","E","VVS2",63.6,62,2858,5.61,5.58,3.56
"1456",0.74,"Premium","F","VS2",61.7,58,2805,5.85,5.78,3.59
"1457",0.76,"Premium","E","SI1",60.4,58,2789,5.92,5.94,3.58
"1458",0.73,"Premium","D","VS2",60.9,59,2947,5.82,5.77,3.53
"1459",0.7,"Ideal","D","VS1",62.5,57,3361,5.65,5.68,3.54
"1460",0.7,"Ideal","G","VS1",61.3,59,2987,5.68,5.7,3.49
"1461",0.71,"Ideal","D","VS1",62.2,55,3136,5.74,5.71,3.56
"1462",0.7,"Ideal","G","VVS1",61.9,58,3354,5.67,5.74,3.53
"1463",0.71,"Ideal","I","VS1",61.8,56,2965,5.68,5.72,3.52
"1464",0.7,"Very Good","D","VS2",59.7,59,2999,5.82,5.78,3.46
"1465",0.24,"Very Good","J","VVS2",62.8,57,336,3.94,3.96,2.48
"1466",0.8,"Good","F","VS2",60.5,62.3,3283,5.97,6.01,3.62
"1467",0.8,"Very Good","E","SI1",63.1,56,3050,5.93,5.83,3.71
"1468",0.97,"Ideal","H","SI2",60.7,55,3729,6.47,6.41,3.91
"1469",0.78,"Ideal","E","SI1",61.6,56,3345,5.94,6,3.68
"1470",1.05,"Very Good","I","SI2",62.3,59,3742,6.42,6.46,4.01
"1471",1.05,"Premium","H","I1",62,59,2881,6.5,6.47,4.02
"1472",0.52,"Ideal","E","VVS1",61.8,55,3125,5.2,5.19,3.21
"1473",0.72,"Ideal","H","VS2",61.2,57,3018,5.79,5.77,3.54
"1474",0.72,"Very Good","D","VS2",61.8,58,3075,5.73,5.76,3.55
"1475",1.02,"Ideal","G","I1",61.2,56,3459,6.47,6.5,3.97
"1476",0.8,"Very Good","H","SI1",63,57,3005,5.89,5.95,3.73
"1477",0.31,"Very Good","I","SI1",61.4,61,408,4.34,4.39,2.68
"1478",0.9,"Good","J","VS2",64,61,2822,6.04,6.03,3.86
"1479",1.13,"Ideal","H","I1",61.1,56,3603,6.71,6.77,4.12
"1480",0.9,"Very Good","H","SI2",63.4,60,3105,6.08,6.03,3.84
"1481",0.8,"Ideal","H","SI1",61,57,2818,6.07,6,3.68
"1482",0.91,"Good","G","SI2",63.6,59,3340,6.11,6.15,3.9
"1483",0.77,"Premium","G","VS2",61.3,57,2803,5.93,5.88,3.62
"1484",0.9,"Good","G","SI1",63.7,60,3669,6.11,6.07,3.88
"1485",0.9,"Fair","I","VVS2",60.9,66,3288,6.1,6.12,3.72
"1486",0.71,"Premium","E","VS2",62.6,58,2982,5.72,5.68,3.57
"1487",0.9,"Very Good","I","SI2",61.3,56,2800,6.17,6.23,3.8
"1488",0.64,"Ideal","G","VVS1",61.9,56,2766,5.53,5.56,3.43
"1489",1.02,"Ideal","J","VVS2",62.7,57,3451,6.45,6.37,4.02
"1490",1,"Ideal","I","SI2",58.8,55,3629,6.53,6.46,3.82
"1491",0.73,"Very Good","F","VVS1",60.6,56,3720,5.79,5.83,3.52
"1492",0.8,"Good","E","VS2",63.3,59,3365,5.82,5.87,3.7
"1493",1.01,"Premium","G","SI2",61.5,58,3461,6.51,6.44,3.98
"1494",0.7,"Premium","H","VVS1",59.2,60,2840,5.87,5.78,3.45
"1495",0.32,"Premium","H","VS1",60.6,60,561,4.4,4.44,2.68
"1496",0.31,"Good","D","SI1",63.5,58,571,4.27,4.3,2.72
"1497",0.9,"Premium","E","SI2",59.5,61,3084,6.3,6.24,3.73
"1498",0.87,"Ideal","H","SI1",62.5,57,2923,6.13,6.06,3.81
"1499",0.9,"Fair","D","SI2",65.9,59,3205,6,5.95,3.94
"1500",0.95,"Good","D","SI2",56.5,61,3214,6.53,6.5,3.68
"1501",0.34,"Very Good","G","VS2",59.6,62,556,4.54,4.56,2.71
"1502",0.72,"Ideal","E","SI1",62.3,57,2857,5.76,5.7,3.57
"1503",0.73,"Ideal","D","SI1",61.9,56,3189,5.8,5.77,3.58
"1504",0.71,"Ideal","F","VS1",62.1,56,3457,5.69,5.75,3.55
"1505",1.05,"Ideal","J","SI2",61.6,57,3616,6.55,6.51,4.02
"1506",0.7,"Very Good","E","VS1",58.4,59,2904,5.83,5.91,3.43
"1507",0.76,"Ideal","D","VS2",61.2,57,3384,5.91,5.89,3.61
"1508",0.8,"Very Good","G","VS1",59.5,63,3158,6.11,6.05,3.61
"1509",0.7,"Ideal","G","VS2",61.6,56,3451,5.7,5.73,3.52
"1510",0.71,"Ideal","F","VS1",60.9,57,3710,5.76,5.78,3.51
"1511",0.32,"Ideal","G","VS2",61.4,56,561,4.37,4.39,2.69
"1512",0.71,"Very Good","E","VS1",63.3,56,3061,5.64,5.68,3.58
"1513",0.9,"Fair","H","SI1",65.4,56,3387,6.11,6.04,3.97
"1514",0.96,"Premium","I","SI1",61.3,58,2866,6.39,6.3,3.89
"1515",0.72,"Ideal","E","VS1",62.6,57,3283,5.69,5.72,3.57
"1516",0.31,"Premium","E","SI2",61.2,61,558,4.37,4.36,2.67
"1517",0.7,"Ideal","D","VS1",62.8,54,3529,5.65,5.69,3.56
"1518",0.72,"Premium","E","VS2",61.1,59,2954,5.75,5.8,3.53
"1519",0.9,"Ideal","F","SI2",62.3,57,3679,6.19,6.17,3.85
"1520",0.92,"Good","I","VS1",60.9,63,3723,6.27,6.34,3.84
"1521",1.02,"Ideal","I","SI1",62.9,57,3656,6.41,6.37,4.02
"1522",0.71,"Ideal","H","IF",61.6,55,3290,5.75,5.78,3.55
"1523",0.86,"Premium","E","SI1",61.9,61,3323,6.07,5.99,3.73
"1524",0.92,"Very Good","J","VS2",60.9,62,3146,6.26,6.31,3.83
"1525",0.73,"Ideal","D","SI1",61.5,56,2858,5.84,5.8,3.58
"1526",0.71,"Premium","D","SI1",60.6,58,2913,5.77,5.79,3.5
"1527",0.71,"Ideal","H","IF",63,57,3354,5.68,5.72,3.59
"1528",1,"Fair","H","SI2",65.3,62,2818,6.34,6.12,4.08
"1529",0.31,"Ideal","D","SI1",61.5,56,571,4.33,4.35,2.67
"1530",0.7,"Premium","E","VS1",58.4,59,2854,5.91,5.83,3.43
"1531",0.77,"Ideal","G","VS2",62.1,56,3544,5.84,5.88,3.64
"1532",0.9,"Very Good","F","SI2",62.4,57,3368,6.11,6.16,3.83
"1533",0.7,"Very Good","D","VS2",60.7,60,2913,5.72,5.74,3.48
"1534",0.9,"Premium","J","SI1",61.8,58,2873,6.16,6.13,3.8
"1535",0.9,"Premium","I","SI1",61.8,58,3121,6.26,6.2,3.85
"1536",0.74,"Good","E","VS2",63.5,56,3163,5.75,5.8,3.67
"1537",0.72,"Ideal","H","VVS1",62.8,57,2907,5.68,5.72,3.58
"1538",0.31,"Ideal","I","VVS1",62.2,53,557,4.36,4.38,2.72
"1539",0.73,"Premium","F","VS2",59.9,58,2933,5.84,5.87,3.51
"1540",0.9,"Fair","I","VS1",65.2,60,3387,6,5.96,3.9
"1541",1,"Very Good","J","SI2",62.8,63,3293,6.26,6.19,3.19
"1542",0.9,"Very Good","F","SI2",62.4,58,3569,6.15,6.19,3.85
"1543",0.71,"Very Good","E","VS1",62.6,59,3464,5.68,5.76,3.58
"1544",0.24,"Very Good","E","SI1",59.9,58,571,4.06,4.1,2.44
"1545",0.25,"Ideal","G","SI1",62.3,57,407,4.03,4.09,2.53
"1546",0.91,"Premium","J","SI1",62.8,59,2905,6.19,6.14,3.87
"1547",1.04,"Ideal","I","SI2",61.9,56,3553,6.51,6.45,4.02
"1548",0.74,"Ideal","F","VS2",62.1,56,3171,5.79,5.83,3.61
"1549",1.17,"Premium","J","I1",60.2,61,2825,6.9,6.83,4.13
"1550",0.56,"Very Good","E","IF",61,59,2833,5.28,5.34,3.24
"1551",0.9,"Very Good","H","SI1",63.2,61,3242,6.12,6.03,3.84
"1552",0.9,"Premium","I","SI1",61.8,58,3251,6.21,6.19,3.83
"1553",0.73,"Ideal","E","VS2",61.7,57,3470,5.75,5.78,3.55
"1554",0.7,"Very Good","G","VS1",63,60,2812,5.57,5.64,3.53
"1555",0.7,"Good","E","VS1",63.6,58,2964,5.61,5.56,3.55
"1556",0.35,"Ideal","I","VS1",62.1,54,571,4.54,4.57,2.83
"1557",0.32,"Good","I","SI1",63.9,55,554,4.36,4.34,2.78
"1558",0.71,"Ideal","D","SI1",61.7,57,2863,5.75,5.7,3.53
"1559",0.9,"Good","G","SI1",63.7,58,3669,6.12,6.09,3.89
"1560",1.02,"Good","H","SI2",58.6,64,3427,6.32,6.26,3.68
"1561",0.9,"Good","E","SI2",65.8,60,3595,5.94,5.97,3.92
"1562",0.7,"Very Good","D","VS2",62.5,55,3052,5.65,5.71,3.55
"1563",0.7,"Ideal","E","VS2",61.1,56,3176,5.73,5.76,3.51
"1564",0.31,"Good","D","SI1",63.4,55,571,4.28,4.3,2.72
"1565",0.79,"Premium","G","SI1",61.2,56,3539,6,5.96,3.66
"1566",0.95,"Good","I","SI2",63.8,57,2956,6.13,6.23,3.94
"1567",1.02,"Ideal","I","VS2",62.8,57,3148,6.45,6.39,4.03
"1568",0.77,"Very Good","F","SI1",59.6,60,3044,5.95,5.97,3.55
"1569",1,"Fair","H","SI2",63.7,54,3164,6.42,6.27,4.06
"1570",1.1,"Premium","H","SI2",59.2,59,3388,6.8,6.74,4.01
"1571",0.73,"Premium","E","VS2",62,57,2854,5.86,5.76,3.6
"1572",0.73,"Ideal","D","SI1",61.3,57,3615,5.81,5.83,3.57
"1573",0.73,"Ideal","G","VS1",61.2,56,3589,5.82,5.85,3.57
"1574",0.82,"Fair","F","SI1",64.9,58,2838,5.83,5.79,3.77
"1575",0.81,"Premium","G","VS1",62.1,58,3311,5.96,5.92,3.69
"1576",0.51,"Very Good","D","VVS1",59.9,58,2834,5.16,5.19,3.1
"1577",0.73,"Ideal","H","VS2",61.4,55,3164,5.79,5.82,3.56
"1578",0.81,"Premium","G","SI1",63,60,2832,5.87,5.81,3.68
"1579",0.8,"Ideal","F","SI2",61.4,57,2761,5.96,6,3.67
"1580",1.13,"Good","G","I1",63.4,58,3127,6.58,6.61,4.18
"1581",1.06,"Premium","J","SI2",61.3,60,3672,6.52,6.59,4.02
"1582",0.32,"Very Good","E","SI1",62.2,58,561,4.36,4.39,2.72
"1583",1.01,"Premium","H","SI2",61.6,60,3676,6.22,6.18,3.82
"1584",0.75,"Very Good","F","VS1",63.2,57,3129,5.78,5.74,3.64
"1585",0.78,"Good","D","SI1",60.1,61,3253,5.92,5.89,3.55
"1586",0.9,"Very Good","D","SI2",58.8,59,3643,6.24,6.28,3.68
"1587",0.81,"Premium","E","SI1",60.8,59,3213,5.99,5.95,3.63
"1588",0.91,"Very Good","G","SI2",60.3,59,3189,6.23,6.28,3.77
"1589",1.01,"Premium","J","SI2",61.9,59,3658,6.38,6.34,3.94
"1590",1,"Premium","J","SI1",62,62,3276,6.27,6.22,3.87
"1591",0.7,"Premium","D","SI1",60.2,60,2822,5.82,5.75,3.48
"1592",0.29,"Very Good","F","VVS1",61.5,56,563,4.26,4.3,2.63
"1593",0.78,"Ideal","I","VS1",61.5,57,2852,5.88,5.92,3.63
"1594",1,"Fair","H","SI1",65.5,57,3511,6.26,6.21,4.08
"1595",0.78,"Premium","F","SI1",61.5,59,2816,5.96,5.88,3.64
"1596",0.6,"Ideal","D","VVS2",61.9,55,3382,5.41,5.45,3.36
"1597",1,"Fair","I","SI1",66.3,61,2875,6.08,6.03,4.01
"1598",0.24,"Ideal","G","IF",61.8,55,559,3.99,4.02,2.47
"1599",0.76,"Good","E","SI1",63.7,54,2789,5.76,5.85,3.7
"1600",0.78,"Ideal","D","VS2",62.9,56,3736,5.85,5.88,3.69
"1601",0.71,"Premium","D","SI1",61,61,2863,5.82,5.75,3.53
"1602",1.02,"Premium","F","SI2",62.5,58,3686,6.4,6.47,4.02
"1603",0.32,"Premium","E","I1",60.9,58,345,4.38,4.42,2.68
"1604",0.72,"Ideal","F","VS2",62.6,56,2956,5.75,5.72,3.59
"1605",0.71,"Very Good","D","VS2",61.9,59,3366,5.68,5.72,3.53
"1606",0.93,"Premium","F","SI2",59.5,60,3620,6.39,6.36,3.79
"1607",0.9,"Premium","H","SI2",62.4,61,3105,6.11,6.03,3.79
"1608",0.78,"Ideal","E","SI1",60.4,57,3671,5.95,6,3.61
"1609",0.76,"Premium","H","VVS1",60.7,58,3311,5.9,5.93,3.59
"1610",0.9,"Good","H","VS1",64,59,3669,6.05,6.01,3.86
"1611",0.71,"Ideal","I","IF",61.5,56,2925,5.74,5.77,3.54
"1612",0.33,"Premium","G","SI2",62.6,58,557,4.42,4.4,2.76
"1613",0.71,"Ideal","D","SI1",62.4,57,2812,5.69,5.72,3.56
"1614",0.73,"Premium","D","VS2",59.8,58,3250,5.89,5.85,3.51
"1615",0.9,"Very Good","I","VS2",61.6,57,3581,6.13,6.17,3.79
"1616",0.81,"Premium","E","SI1",60.8,59,3270,5.95,5.99,3.63
"1617",0.7,"Very Good","F","VVS2",62.6,59,2940,5.6,5.64,3.52
"1618",0.91,"Fair","H","SI1",65.8,58,2854,6.04,6.01,3.96
"1619",0.71,"Very Good","E","VS2",63.3,59,2922,5.62,5.66,3.57
"1620",0.82,"Ideal","F","SI1",62.1,56,3361,6.04,6,3.74
"1621",0.72,"Very Good","F","VS1",62.8,58,3219,5.7,5.73,3.59
"1622",1,"Premium","G","SI2",61.5,56,3142,6.49,6.44,3.97
"1623",0.7,"Very Good","G","VS1",61.9,57,3127,5.68,5.71,3.53
"1624",0.31,"Good","D","SI1",63.5,56,571,4.29,4.31,2.73
"1625",0.7,"Ideal","E","VS1",62.2,58,3309,5.67,5.71,3.54
"1626",0.5,"Good","D","VVS2",62.4,64,3017,5.03,5.06,3.14
"1627",0.7,"Premium","G","VVS2",59.3,54,3450,5.89,5.78,3.46
"1628",0.71,"Very Good","D","VS1",62,61,3420,5.71,5.74,3.55
"1629",0.79,"Premium","E","VS2",59.4,60,3230,6.08,6.05,3.6
"1630",0.9,"Ideal","J","VS1",62.5,55,3175,6.18,6.14,3.85
"1631",0.31,"Very Good","I","VVS1",62.8,55,571,4.33,4.36,2.73
"1632",0.7,"Good","E","VS1",63.6,58,3175,5.67,5.62,3.59
"1633",0.4,"Good","J","VS1",64,56,567,4.66,4.69,2.99
"1634",0.26,"Good","D","VVS2",63.6,56,564,4.06,4.09,2.59
"1635",0.71,"Premium","E","VS2",62.3,58,2823,5.71,5.66,3.54
"1636",0.74,"Ideal","D","VS2",62.2,56,3454,5.79,5.81,3.61
"1637",0.73,"Ideal","G","SI1",60.9,57,3089,5.81,5.85,3.55
"1638",0.91,"Very Good","I","SI1",63.5,57,2852,6.12,6.07,3.87
"1639",0.31,"Very Good","F","SI2",63,58,408,4.34,4.36,2.74
"1640",0.71,"Premium","D","SI1",61.4,58,2863,5.79,5.75,3.54
"1641",0.7,"Very Good","E","VS2",60.2,62,2843,5.71,5.75,3.45
"1642",0.9,"Very Good","J","SI1",63.8,56,3061,6.11,6.14,3.91
"1643",0.9,"Very Good","I","SI1",63.2,56,3120,6.15,6.12,3.88
"1644",0.71,"Ideal","G","VVS2",60.7,57,2843,5.81,5.78,3.52
"1645",0.71,"Ideal","G","SI1",61.4,56,3007,5.72,5.77,3.53
"1646",0.72,"Good","G","VS1",58,57.8,2958,5.85,5.87,3.4
"1647",0.89,"Premium","I","VS1",62.2,62,2955,6.14,6.02,3.78
"1648",1.02,"Premium","H","SI1",62.2,52,3581,6.47,6.43,4.01
"1649",0.71,"Very Good","F","VS1",62.6,55,2893,5.66,5.71,3.56
"1650",0.93,"Premium","J","SI2",61.9,57,2807,6.21,6.19,3.84
"1651",0.91,"Premium","E","SI2",61,58,3644,6.31,6.27,3.84
"1652",0.71,"Ideal","G","SI1",61.6,57,3007,5.73,5.76,3.54
"1653",0.7,"Good","D","SI1",61.3,61,2980,5.63,5.69,3.47
"1654",0.6,"Ideal","E","VVS2",61.9,54.9,2860,5.41,5.44,3.35
"1655",1,"Premium","H","SI2",59.6,62,3640,6.52,6.41,3.85
"1656",0.95,"Premium","G","SI2",60.5,62,3671,6.44,6.36,3.88
"1657",0.81,"Ideal","E","SI1",60.3,56,3413,6.05,6.13,3.67
"1658",1,"Good","J","SI1",63.9,60,3679,6.26,6.19,3.98
"1659",0.7,"Premium","F","VVS2",62.6,59,3105,5.66,5.62,3.53
"1660",0.72,"Ideal","D","VS1",62.5,55,3629,5.71,5.74,3.58
"1661",0.76,"Ideal","G","VS2",61.5,55,3183,5.92,5.88,3.63
"1662",0.81,"Ideal","F","SI1",61.8,55,3004,6.04,6,3.72
"1663",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"1664",0.76,"Very Good","F","VVS2",62.9,58,3640,5.76,5.85,3.65
"1665",1.08,"Good","J","SI2",63.2,59,3742,6.4,6.57,4.1
"1666",1.12,"Premium","H","I1",59.1,61,2854,6.78,6.75,4
"1667",0.75,"Premium","H","VS1",61.9,61,2961,5.85,5.82,3.61
"1668",0.9,"Very Good","H","SI2",61.1,63,3105,6.19,6.12,3.76
"1669",0.72,"Very Good","G","VVS2",62.5,58,2889,5.68,5.72,3.56
"1670",0.72,"Ideal","G","VS1",61.5,57,3478,5.74,5.79,3.54
"1671",0.74,"Premium","G","VVS1",61.2,59,3145,5.84,5.79,3.56
"1672",0.79,"Very Good","D","SI1",59.7,57,3432,5.96,5.99,3.57
"1673",0.71,"Ideal","F","VS1",61.5,57,2839,5.74,5.71,3.52
"1674",1.01,"Very Good","G","SI2",63.1,55,3507,6.36,6.31,4
"1675",0.91,"Very Good","F","SI2",62.4,58,3659,6.17,6.21,3.86
"1676",0.76,"Premium","D","VS2",60.9,58,2977,5.9,5.85,3.58
"1677",0.72,"Ideal","E","VS2",60.8,56,3601,5.78,5.82,3.53
"1678",0.72,"Ideal","F","VS1",61.7,57,2829,5.77,5.74,3.55
"1679",0.72,"Premium","H","VVS1",61.4,58,3137,5.75,5.78,3.54
"1680",1,"Premium","D","SI2",62,60,3634,6.38,6.3,3.93
"1681",0.7,"Good","D","VS2",63.9,58,3087,5.58,5.62,3.58
"1682",0.2,"Premium","E","SI2",60.2,62,345,3.79,3.75,2.27
"1683",0.7,"Good","E","VS1",57.2,62,2782,5.81,5.77,3.31
"1684",0.81,"Ideal","E","VS2",60.4,57,3231,6.02,6.06,3.65
"1685",0.25,"Premium","E","VS1",61.5,60,558,4.04,4.02,2.48
"1686",0.71,"Ideal","E","VS1",62.2,55,2866,5.74,5.7,3.56
"1687",0.74,"Ideal","D","SI1",61.5,56,2987,5.8,5.84,3.58
"1688",0.83,"Ideal","F","SI1",62.2,55,3560,6.01,6.03,3.74
"1689",1.01,"Fair","H","SI1",64.4,59,3482,6.22,6.17,3.99
"1690",0.76,"Very Good","E","VS2",63,59,3162,5.76,5.79,3.64
"1691",0.71,"Very Good","E","VS1",61.5,57,3192,5.74,5.77,3.54
"1692",0.8,"Very Good","F","VS1",62.3,57,3720,5.92,5.95,3.7
"1693",0.75,"Very Good","F","VS1",57.9,62,3268,5.96,6,3.46
"1694",0.7,"Ideal","F","VVS2",61.9,54.8,3741,5.68,5.72,3.53
"1695",0.51,"Ideal","E","VVS1",61.3,56,3226,5.21,5.13,3.17
"1696",0.32,"Ideal","I","VVS2",62.2,54.5,567,4.38,4.42,2.74
"1697",0.9,"Very Good","I","VS2",62.5,57,3209,6.12,6.2,3.85
"1698",1,"Fair","H","SI2",66.1,59,3472,6.18,6.13,4.07
"1699",0.78,"Very Good","E","VS2",61.7,58,3334,5.9,5.93,3.65
"1700",0.3,"Ideal","F","VS2",62.3,58,569,4.26,4.23,2.64
"1701",0.9,"Fair","G","SI2",65.3,59,2834,6.07,6,3.94
"1702",0.32,"Premium","E","SI1",60.2,60,561,4.39,4.44,2.66
"1703",0.84,"Fair","G","SI1",55.1,67,2782,6.39,6.2,3.47
"1704",0.7,"Very Good","E","VS2",61.8,59,2845,5.65,5.68,3.5
"1705",0.7,"Very Good","E","VS1",62.4,56,2854,5.64,5.7,3.54
"1706",0.9,"Good","F","SI1",61,62,3733,6.17,6.26,3.79
"1707",0.73,"Good","E","VS1",60.8,61,3471,5.77,5.8,3.52
"1708",0.8,"Ideal","E","SI1",61.7,56,3630,5.99,6.04,3.71
"1709",0.72,"Ideal","F","SI1",62.3,56,3004,5.77,5.79,3.6
"1710",0.31,"Ideal","D","SI1",60.8,56,571,4.32,4.37,2.64
"1711",0.74,"Ideal","F","VS1",61.9,54,3590,5.78,5.82,3.59
"1712",0.31,"Very Good","I","VVS1",62.2,60,571,4.3,4.32,2.68
"1713",0.7,"Good","F","VS2",59.1,61,2846,5.76,5.84,3.43
"1714",0.81,"Ideal","E","SI2",60.3,57,2864,6.07,6.04,3.65
"1715",0.8,"Ideal","D","SI2",61.9,54,3210,5.95,6,3.7
"1716",0.91,"Ideal","J","VS1",60.7,57,3296,6.26,6.23,3.79
"1717",0.8,"Ideal","I","VS1",62.9,56,2760,5.94,5.87,3.72
"1718",1.04,"Good","J","SI2",63.8,56,3204,6.36,6.32,4.05
"1719",0.62,"Ideal","E","VVS2",62,56,2904,5.48,5.52,3.41
"1720",1.05,"Very Good","J","SI2",60.9,60,3395,6.51,6.59,3.99
"1721",1.03,"Premium","J","SI2",62.2,59,3149,6.42,6.4,3.99
"1722",0.77,"Ideal","H","VS1",61.4,55,3074,5.89,5.93,3.63
"1723",0.92,"Good","J","SI2",59,63,3070,6.3,6.35,3.73
"1724",0.72,"Premium","E","VS2",62.4,59,2822,5.77,5.7,3.58
"1725",0.7,"Ideal","G","VVS2",62.1,53,2895,5.71,5.75,3.56
"1726",0.91,"Very Good","G","SI2",63.3,57,3282,6.12,6.08,3.86
"1727",0.9,"Premium","E","SI1",59,59,3508,6.34,6.3,3.73
"1728",0.91,"Ideal","D","SI2",62.2,57,2803,6.21,6.15,3.85
"1729",0.71,"Ideal","E","VS2",61.6,57,3112,5.71,5.79,3.54
"1730",1,"Premium","I","SI2",58.2,60,2795,6.61,6.55,3.83
"1731",0.32,"Good","H","SI2",63.8,56,403,4.36,4.38,2.79
"1732",1.02,"Ideal","F","I1",61,56,3599,6.53,6.51,3.98
"1733",1.27,"Premium","H","SI2",59.3,61,2845,7.12,7.05,4.2
"1734",0.71,"Premium","D","SI1",61.3,58,2822,5.75,5.73,3.52
"1735",0.9,"Premium","I","VS2",59.1,59,3385,6.28,6.24,3.7
"1736",0.7,"Very Good","F","VS1",61.8,56,2810,5.63,5.7,3.5
"1737",0.81,"Ideal","G","SI1",62.2,57,3192,5.97,6.02,3.73
"1738",0.8,"Very Good","F","VS2",62.3,57,3653,5.91,5.94,3.69
"1739",0.71,"Very Good","G","VS1",63.5,55,2803,5.66,5.64,3.59
"1740",1.03,"Very Good","F","SI2",63.1,57,3668,6.42,6.38,4.04
"1741",0.8,"Ideal","D","SI1",62.2,57,3011,5.89,5.85,3.65
"1742",0.86,"Fair","G","VS2",66.5,54.1,3418,5.89,5.97,3.94
"1743",0.7,"Ideal","F","VS2",62.3,53,2907,5.69,5.73,3.56
